id,store_id,name
0a5cb02a-985c-475c-98c6-48ac98ae890c,f9cc15ab-17fa-4689-a438-973b16a7c227,ملابس
0e847eb8-f4ee-4001-9649-484b30679c48,117a41a8-6127-400d-a3d5-839d072ed61d,jeans
163c1a12-aefa-4be9-b04a-ea8e639cbd34,117a41a8-6127-400d-a3d5-839d072ed61d,"BOYS "
284ac949-0275-48a3-ab7e-7ce7a0192648,e848acb0-d570-4b44-b104-c781697589cf,"Clean "
29ca4feb-d753-4be6-b988-04a70f9499bf,f410b754-ea14-45a6-8c46-65f86767c152,بلفا
2b4ec4fd-f7f6-43dd-85d2-e48c23ada255,117a41a8-6127-400d-a3d5-839d072ed61d,"GIRL'S "
3906e1a8-8418-4d39-a848-fd3791e8377b,51da23d7-691e-4119-a13b-6670c18bba93,pants
3d25b8bc-5086-4c19-88ac-8ef28f612599,fb972f74-0b45-417c-ab5e-e1ba39a53955,"منتجات طبيعية "
419f5dee-f364-45b0-97d2-941f23364047,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,منتجات الشعر
4cb48ac3-b79b-4099-89ee-1c0bf4a24ae2,0ab7044c-74b3-455c-ab7d-4c887968ff1d,"إبراق "
4d071abc-1f79-4176-9b1b-fa92a0fc10fd,048d1c13-4e46-460a-9911-797a709fde37,عبيد
5a5712af-e0f5-4608-8c80-12b419083502,cfc686b0-ce00-4eb0-9c53-415ffa1963a3,"ديكورات "
67d6bde4-0cac-4aef-993d-d94bb4fcb37d,6f832b3e-eb01-4659-a46a-1147be39571c,necklace
710ca756-d3a2-40f3-be28-1465b927dd2a,9cfdfcde-b865-4d48-865e-78edca0d1313,"offers "
7380d70b-cde3-40b5-9729-cc379d2d8530,c19ffee1-d484-4459-84dd-e32223a09169,"اكسسورات "
77a48275-440f-488f-b171-8fdd5183514e,51da23d7-691e-4119-a13b-6670c18bba93,NOV
79367969-ff75-4a19-89d4-2d655a23599a,55d2541f-1f36-489b-9181-8b5772ce1849,شنط
84cf1b1d-fc73-4796-9086-24d554146174,9cfdfcde-b865-4d48-865e-78edca0d1313,"hair care "
8ca050b6-ffc4-4ab4-af22-6731742e938d,51909626-5ef9-4585-8c17-71ec734b6844,هوديز
96605ea3-a5c3-4b30-b0cf-c0e3b01dd991,cbc43ca8-92df-44b3-a25b-f221d0ada9df,ملابس
9aead661-8590-486e-87ce-b53fa4f056c6,1ac4efc8-691e-4ac6-a62a-bb36f1d552c5,عروض متنوعة
a3f0221d-7360-4fbd-93fe-747c00de0b06,51da23d7-691e-4119-a13b-6670c18bba93,classic
a7e4fc81-a8d5-47ed-8d66-91e89c73dab3,51da23d7-691e-4119-a13b-6670c18bba93,Fashion
af9e3f9b-9608-468f-9f91-7b4afa325b3e,fb972f74-0b45-417c-ab5e-e1ba39a53955,"زيوت "
bd3c63e2-768d-4496-9bdb-4dd3599b2ec1,117a41a8-6127-400d-a3d5-839d072ed61d,"Girls & Boys "
d294a954-c56e-4e61-8851-963d4848e85b,117a41a8-6127-400d-a3d5-839d072ed61d,Beby
d3f97c8f-fb5e-4822-acad-3c4f67c3f2cd,ae9f8af4-c7a2-40f3-8de8-2d2b5ffac168,منتجات طبيعية 100%
d6def2d4-c9da-400a-8c1f-6716eeaa4815,51909626-5ef9-4585-8c17-71ec734b6844,تيشرت نص كم صيفي
db6c5a77-a798-4c5c-b786-fbca7f006fa0,fb972f74-0b45-417c-ab5e-e1ba39a53955,"مشتل "
dc1da3e7-d354-44a5-b8aa-b9bba396680d,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,"منتجات البشره "
ddf21666-db89-4d6f-99ba-0f5638a1ac43,2e5f69a2-4099-4eaa-a5ba-ccf1fc9bdcc4,"Shoes "
e3e109df-5c92-4f0b-99fe-4aa707e878e8,e848acb0-d570-4b44-b104-c781697589cf,"Cosmetics "
f50e2d61-60c6-442c-ac62-74a72ac351e0,b3e2a517-b6b7-44e5-a644-afa4ead57d8f,منتجات الجسم
fba4092f-770a-4e8c-99a9-28d055f5d133,6f832b3e-eb01-4659-a46a-1147be39571c,bracelets
